workload,size,stack,primal_abs_error,vjp_max_abs_error,vjp_max_rel_error
LSTM,16,C++ Enzyme,0.0,3.469446951953614e-18,4.464774189172356e-16
LSTM,16,Flang Enzyme,4.440892098500626e-16,3.469446951953614e-18,4.464774189172356e-16
LSTM,16,LFortran Enzyme,2.220446049250313e-16,3.469446951953614e-18,5.953032252229808e-16
LSTM,64,C++ Enzyme,2.220446049250313e-16,1.734723475976807e-18,7.707214870460588e-16
LSTM,64,Flang Enzyme,2.220446049250313e-16,1.734723475976807e-18,7.707214870460588e-16
LSTM,64,LFortran Enzyme,0.0,1.734723475976807e-18,8.030434055932816e-16
LSTM,256,C++ Enzyme,0.0,3.2526065174565133e-19,8.317344770664629e-16
LSTM,256,Flang Enzyme,6.661338147750939e-16,3.2526065174565133e-19,8.317344770664629e-16
LSTM,256,LFortran Enzyme,6.661338147750939e-16,3.2526065174565133e-19,8.317344770664629e-16
LSTM,1024,C++ Enzyme,8.881784197001252e-16,1.0842021724855044e-19,1.016552548187412e-15
LSTM,1024,Flang Enzyme,2.220446049250313e-16,1.0842021724855044e-19,1.016552548187412e-15
LSTM,1024,LFortran Enzyme,2.220446049250313e-16,1.0842021724855044e-19,9.24581890613166e-16
BA,8,C++ Enzyme,1.8189894035458565e-12,3.637978807091713e-12,1.351219684666974e-15
BA,8,Flang Enzyme,9.094947017729282e-13,3.637978807091713e-12,1.351219684666974e-15
BA,8,LFortran Enzyme,0.0,1.8189894035458565e-12,1.2669406735941048e-15
BA,32,C++ Enzyme,9.094947017729282e-13,1.1368683772161603e-12,6.086685016088263e-15
BA,32,Flang Enzyme,9.094947017729282e-13,1.1368683772161603e-12,6.086685016088263e-15
BA,32,LFortran Enzyme,9.094947017729282e-13,9.094947017729282e-13,3.777942423778922e-15
BA,128,C++ Enzyme,2.7284841053187847e-12,3.410605131648481e-13,6.086685016088263e-15
BA,128,Flang Enzyme,2.7284841053187847e-12,3.410605131648481e-13,6.086685016088263e-15
BA,128,LFortran Enzyme,0.0,3.410605131648481e-13,6.98143470378659e-14
BA,512,C++ Enzyme,0.0,8.526512829121202e-14,6.277754106811518e-14
BA,512,Flang Enzyme,6.366462912410498e-12,8.526512829121202e-14,6.277754106811518e-14
BA,512,LFortran Enzyme,3.637978807091713e-12,8.526512829121202e-14,6.98143470378659e-14
GMM,8,C++ Enzyme,0.0,6.938893903907228e-18,1.8889564755061257e-15
GMM,8,Flang Enzyme,2.220446049250313e-16,8.673617379884035e-18,1.844525717731105e-15
GMM,8,LFortran Enzyme,0.0,6.938893903907228e-18,1.844525717731105e-15
GMM,32,C++ Enzyme,0.0,3.469446951953614e-18,1.2927553782548273e-14
GMM,32,Flang Enzyme,1.1102230246251565e-16,2.6020852139652106e-18,6.93216652107661e-15
GMM,32,LFortran Enzyme,1.1102230246251565e-16,2.6020852139652106e-18,1.2927553782548273e-14
GMM,128,C++ Enzyme,0.0,1.1384122811097797e-18,4.4212912352972285e-14
GMM,128,Flang Enzyme,2.220446049250313e-16,9.75781955236954e-19,2.6932759046957766e-14
GMM,128,LFortran Enzyme,2.220446049250313e-16,1.0842021724855044e-18,4.5573793198738643e-14
GMM,512,C++ Enzyme,4.440892098500626e-16,2.710505431213761e-19,1.3554893423998445e-13
GMM,512,Flang Enzyme,1.1102230246251565e-15,3.7947076036992655e-19,1.1618480077712953e-13
GMM,512,LFortran Enzyme,5.551115123125783e-16,3.2526065174565133e-19,9.302881284132704e-14
Euler,16,C++ Enzyme,0.0,8.673617379884035e-19,2.2101472795495386e-16
Euler,16,Flang Enzyme,0.0,8.673617379884035e-19,2.2101472795495386e-16
Euler,16,LFortran Enzyme,0.0,8.673617379884035e-19,2.2101472795495386e-16
Euler,64,C++ Enzyme,0.0,2.168404344971009e-19,4.544796853349567e-16
Euler,64,Flang Enzyme,0.0,2.168404344971009e-19,4.544796853349567e-16
Euler,64,LFortran Enzyme,0.0,2.168404344971009e-19,4.544796853349567e-16
Euler,256,C++ Enzyme,0.0,5.421010862427522e-20,8.614423261365413e-16
Euler,256,Flang Enzyme,0.0,5.421010862427522e-20,8.614423261365413e-16
Euler,256,LFortran Enzyme,0.0,5.421010862427522e-20,8.614423261365413e-16
Euler,1024,C++ Enzyme,1.3877787807814457e-17,1.3552527156068805e-20,2.3122836468522213e-16
Euler,1024,Flang Enzyme,1.3877787807814457e-17,1.3552527156068805e-20,2.3122836468522213e-16
Euler,1024,LFortran Enzyme,1.3877787807814457e-17,1.3552527156068805e-20,2.3122836468522213e-16
RK4,16,C++ Enzyme,5.551115123125783e-17,8.673617379884035e-19,3.675285432663376e-16
RK4,16,Flang Enzyme,5.551115123125783e-17,8.673617379884035e-19,3.79175186940128e-16
RK4,16,LFortran Enzyme,2.7755575615628914e-17,8.673617379884035e-19,3.79175186940128e-16
RK4,64,C++ Enzyme,2.7755575615628914e-17,4.336808689942018e-19,4.768743854862062e-16
RK4,64,Flang Enzyme,2.7755575615628914e-17,4.336808689942018e-19,6.089112328185244e-16
RK4,64,LFortran Enzyme,2.7755575615628914e-17,4.336808689942018e-19,6.089112328185244e-16
RK4,256,C++ Enzyme,0.0,2.710505431213761e-19,1.9260751881344962e-15
RK4,256,Flang Enzyme,0.0,4.336808689942018e-19,2.492301517363987e-15
RK4,256,LFortran Enzyme,1.3877787807814457e-17,4.336808689942018e-19,2.492301517363987e-15
RK4,1024,C++ Enzyme,2.7755575615628914e-17,1.6263032587282567e-19,4.37719348351891e-15
RK4,1024,Flang Enzyme,2.7755575615628914e-17,1.6263032587282567e-19,6.935152714274282e-15
RK4,1024,LFortran Enzyme,2.7755575615628914e-17,1.6263032587282567e-19,6.935152714274282e-15
FFT,16,C++ Enzyme,0.0,5.551115123125783e-17,6.987887401689144e-15
FFT,16,Flang Enzyme,0.0,5.551115123125783e-17,6.987887401689144e-15
FFT,16,LFortran Enzyme,5.551115123125783e-17,5.551115123125783e-17,6.987887401689144e-15
FFT,64,C++ Enzyme,5.551115123125783e-17,6.938893903907228e-17,4.087619422179854e-13
FFT,64,Flang Enzyme,5.551115123125783e-17,6.938893903907228e-17,4.087619422179854e-13
FFT,64,LFortran Enzyme,1.1102230246251565e-16,6.938893903907228e-17,4.087619422179854e-13
FFT,256,C++ Enzyme,3.885780586188048e-16,7.546047120499111e-17,2.325937502547998e-12
FFT,256,Flang Enzyme,3.885780586188048e-16,7.546047120499111e-17,2.325937502547998e-12
FFT,256,LFortran Enzyme,0.0,7.546047120499111e-17,2.325937502547998e-12
FFT,1024,C++ Enzyme,9.992007221626409e-16,9.020562075079397e-17,2.7782364848606606e-12
FFT,1024,Flang Enzyme,9.992007221626409e-16,9.020562075079397e-17,2.7782364848606606e-12
FFT,1024,LFortran Enzyme,5.551115123125783e-16,9.020562075079397e-17,2.7782364848606606e-12
Bruss,8,C++ Enzyme,2.7755575615628914e-17,1.2663481374630692e-16,4.750733705763696e-12
Bruss,8,Flang Enzyme,1.3877787807814457e-17,1.2836953722228372e-16,4.750733705763696e-12
Bruss,8,LFortran Enzyme,2.7755575615628914e-17,1.1796119636642288e-16,5.189444706288564e-13
Bruss,16,C++ Enzyme,3.3306690738754696e-16,1.1102230246251565e-16,4.997864609884413e-13
Bruss,16,Flang Enzyme,0.0,1.1102230246251565e-16,4.997864609884413e-13
Bruss,16,LFortran Enzyme,0.0,1.1102230246251565e-16,4.149701971415464e-13
Bruss,32,C++ Enzyme,2.220446049250313e-15,1.3877787807814457e-16,4.813822306667312e-13
Bruss,32,Flang Enzyme,4.884981308350689e-15,1.6653345369377348e-16,4.813822306667312e-13
Bruss,32,LFortran Enzyme,4.440892098500626e-15,5.828670879282072e-16,4.813822306667312e-13
Bruss,64,C++ Enzyme,1.5631940186722204e-13,4.996003610813204e-16,6.617784970188369e-13
Bruss,64,Flang Enzyme,3.694822225952521e-13,4.996003610813204e-16,6.617784970188369e-13
Bruss,64,LFortran Enzyme,3.836930773104541e-13,3.9968028886505635e-15,6.617784970188369e-13
